season,rule,acc,mean_margin,mean_PC
1,rank,0.5,-1.0905575462736579,0.5
2,rank,0.2857142857142857,-1.1484576319509696,0.2857142857142857
3,percent,0.25,-0.020523833737590664,0.296875
4,percent,0.625,-0.0008190795415822551,0.359375
5,percent,0.4444444444444444,-0.0075119938891373295,0.3888888888888889
6,percent,0.375,-0.02168678252216259,0.390625
7,percent,0.375,0.0023741136621589845,0.46875
8,percent,0.4444444444444444,0.002064189206686511,0.375
9,percent,0.2222222222222222,-0.023442080757251058,0.18055555555555555
10,percent,0.25,-0.01792831881923446,0.203125
11,percent,0.3333333333333333,-0.017663812754431782,0.3472222222222222
12,percent,0.25,-0.012072152846906638,0.390625
13,percent,0.3333333333333333,-0.010779570003254836,0.3055555555555556
14,percent,0.5,-0.014451249733645637,0.34375
15,percent,0.0,-0.03678569070841754,0.0
16,percent,0.25,-0.014071466601233294,0.28125
17,percent,0.0,-0.05593002787656834,0.03125
18,percent,0.14285714285714285,-0.019546639430423476,0.08928571428571429
19,percent,0.3333333333333333,-0.006139948321972068,0.3472222222222222
20,percent,0.375,-0.026448315827647853,0.234375
21,percent,0.16666666666666666,-0.027400811475259437,0.16666666666666666
22,percent,0.2857142857142857,-0.017301754382605273,0.2857142857142857
23,percent,0.25,-0.02461436300888674,0.171875
24,percent,0.0,-0.03425224626216308,0.046875
25,percent,0.14285714285714285,-0.018841885083283747,0.19642857142857142
26,percent,0.0,-0.039745380717188396,0.0
27,percent,0.2857142857142857,-0.02002439412944093,0.30357142857142855
28,rank,0.42857142857142855,-1.535506063660364,0.42857142857142855
29,rank,0.5555555555555556,-0.6582034420142455,0.20833333333333334
30,rank,0.5,-1.551509754735859,0.5
31,rank,0.8888888888888888,-0.5315086422423418,0.3333333333333333
32,rank,0.2222222222222222,-1.8051767804066878,0.2222222222222222
33,rank,0.3333333333333333,-1.0459990221996665,0.3333333333333333
34,rank,0.5,-1.368174525948557,0.125
